date,description,merchant,amount,type,payment_method,source,category,description_clean
2024-01-01,NEFT-HCL Salary-8849,HCL Salary,73400.0,income,Bank Transfer,csv_import,Salary,neft-hcl salary-8849
2024-01-01,UPI-Zomato-22414,Zomato,505.41,expense,UPI,csv_import,Food,upi-zomato-22414
2024-01-01,Monthly salary - Acme Corp Payroll,Acme Corp Payroll,114600.0,income,NEFT,csv_import,Salary,monthly salary - acme corp payroll
2024-01-01,Udemy course fee,Udemy,3779.97,expense,Net Banking,excel_import,Education,udemy course fee
2024-01-01,Salary credit January,TCS Salary,58000.0,income,Bank Transfer,excel_import,Salary,salary credit january
2024-01-01,Salary credit January,TCS Salary,26800.0,income,Bank Transfer,manual,Salary,salary credit january
2024-01-01,Salary credit January,Infosys Salary,34800.0,income,NEFT,excel_import,Salary,salary credit january
2024-01-01,Dominos dine in,Dominos,373.75,expense,Card,manual,Food,dominos dine in
2024-01-01,Salary credit January,Company Payroll,99500.0,income,Bank Transfer,excel_import,Salary,salary credit january
2024-01-01,UPI-Unacademy-80848,Unacademy,5672.3,expense,UPI,excel_import,Education,upi-unacademy-80848
2024-01-01,NEFT-Company Payroll-49816,Company Payroll,57100.0,income,NEFT,csv_import,Salary,neft-company payroll-49816
2024-01-02,Reliance Fresh monthly groceries,Reliance Fresh,4406.83,expense,Card,excel_import,Groceries,reliance fresh monthly groceries
2024-01-02,Myntra purchase,Myntra,4995.51,expense,Card,excel_import,Shopping,myntra purchase
2024-01-02,Cult.fit membership renewal,Cult.fit,1041.63,expense,UPI,manual,Personal Care,cultfit membership renewal
2024-01-02,Unacademy tuition fee,Unacademy,9406.53,expense,Card,manual,Education,unacademy tuition fee
2024-01-02,UPI-Health & Glow-22300,Health & Glow,351.13,expense,Cash,manual,Personal Care,upi-health  glow-22300
2024-01-02,Cafe Coffee Day food delivery,Cafe Coffee Day,721.23,expense,Card,manual,Food,cafe coffee day food delivery
2024-01-02,POS-Reliance Trends-16228,Reliance Trends,5259.43,expense,Net Banking,excel_import,Shopping,pos-reliance trends-16228
2024-01-02,Tata Power bill payment,Tata Power,2716.52,expense,UPI,excel_import,Bills & Utilities,tata power bill payment
2024-01-02,Urban Company membership renewal,Urban Company,2654.02,expense,Card,csv_import,Personal Care,urban company membership renewal
2024-01-03,UPI-Goibibo-60497,Goibibo,23540.42,expense,Card,csv_import,Travel,upi-goibibo-60497
2024-01-03,Fuel - Bharat Petroleum,Bharat Petroleum,81.24,expense,UPI,manual,Transport,fuel - bharat petroleum
2024-01-03,Payment to MedPlus,MedPlus,4175.83,expense,UPI,excel_import,Healthcare,payment to medplus
2024-01-03,Vistara flight ticket,Vistara,12041.39,expense,Net Banking,csv_import,Travel,vistara flight ticket
2024-01-04,1mg purchase,1mg,3625.61,expense,UPI,csv_import,Healthcare,1mg purchase
2024-01-04,UPI-Netmeds-98606,Netmeds,2437.62,expense,UPI,excel_import,Healthcare,upi-netmeds-98606
2024-01-04,MedPlus medicines,MedPlus,873.12,expense,Card,csv_import,Healthcare,medplus medicines
2024-01-04,Payment to Decathlon,Decathlon,7639.76,expense,Net Banking,csv_import,Shopping,payment to decathlon
2024-01-04,Local Restaurant food delivery,Local Restaurant,591.75,expense,Cash,csv_import,Food,local restaurant food delivery
2024-01-05,Croma online shopping,Croma,640.75,expense,Net Banking,excel_import,Shopping,croma online shopping
2024-01-05,Fortis Hospital medicines,Fortis Hospital,2724.1,expense,Card,manual,Healthcare,fortis hospital medicines
2024-01-05,NEFT-NoBroker Rent Pay-54721,NoBroker Rent Pay,17264.12,expense,Net Banking,csv_import,Rent,neft-nobroker rent pay-54721
2024-01-06,UPI-Cafe Coffee Day-97797,Cafe Coffee Day,373.0,expense,Cash,csv_import,Food,upi-cafe coffee day-97797
2024-01-06,Big Bazaar order #12995,Big Bazaar,7555.09,expense,UPI,csv_import,Shopping,big bazaar order #12995
2024-01-06,Reliance Fresh delivery,Reliance Fresh,1768.83,expense,Cash,manual,Groceries,reliance fresh delivery
2024-01-06,Payment to Health & Glow,Health & Glow,2107.95,expense,UPI,excel_import,Personal Care,payment to health  glow
2024-01-06,McDonalds order #74565,McDonalds,453.81,expense,Cash,manual,Food,mcdonalds order #74565
2024-01-06,Subway dine in,Subway,1094.56,expense,UPI,csv_import,Food,subway dine in
2024-01-06,UPI-Dominos-34425,Dominos,450.23,expense,Cash,manual,Food,upi-dominos-34425
2024-01-06,Health & Glow membership renewal,Health & Glow,2815.51,expense,Card,csv_import,Personal Care,health  glow membership renewal
